Paragraph,Clause Classification,Explanation,Clause Type,Clause Meaning,Clause Example
1  In consideration of SBI having agreed to entrust Service Provider for rendering Services as mentioned in the RFP w e  the Guarantors hereby unconditionally and irrevocably guarantee that Service Provider shall fulfill its commitments and obligations in respect of providing the Services as mentioned in the RFPAgreement and in the event of Service Provider failing to perform  fulfill it s commitments  obligations in respect of providing Services as mentioned in the RFPAgreement we the Guarantor shall on demands from time to time from SBI without protest or demur or without reference to Service Provider and not withstanding any co ntestation or existence of any dispute whatsoever between Service Provider and SBI pay SBI forthwith the sums so demanded by SBI not exceeding Rs  Rupees only,Onerous,"Onerous clause due to the following reason(s): The clause requires the bank to honor the guarantee without placing any conditions, which removes the bankÃ¢â‚¬â„¢s ability to verify legitimacy before paying. The use of 'irrevocably' binds the bank to the guarantee until its expiry, limiting the bankÃ¢â‚¬â„¢s flexibility to exit or alter the terms.",Performance,Ensures the supplier fulfills contract obligations; may be invoked for non-performance.,"If the supplier fails to meet the delivery schedule, the performance guarantee shall be forfeited."
3  We the Guarantor confirm that our obligation to the SBI under this Guarantee shall be independent of the agreement or ot her understandings whatsoever between the SBI and Service Provider,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
4  This Guarantee shall not be revoked by us the Guarantor without prior consent in writing of the SBI,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
i Any neglect or forbe arance on the part of SBI to Service Provider or any indulgence of any kind shown by SBI to Service Provider or any change in the terms and conditions of the Agreement or the Services shall not in any way release or discharge the Bank from its liabilitie s under this Guarantee ii This Guarantee herein contained shall be distinct and independent and shall be enforceable against the Guarantor notwithstanding any Guarantee or Security now or hereinafter held by SBI at its discretion,Onerous,"Onerous clause due to the following reason(s): This indicates the guarantee will be honored regardless of other contractual terms or disputes, which overrides protective clauses.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
iii This Guarantee shall not  be affected by any infirmity or absence or irregularity in the execution of this Guarantee by and  or on behalf of the Guarantor or by merger or amalgamation or any change in the Constitution or name of the Guarantor iv The Guarantee shall not be affected  by any change in the constitution of SBI or Service Provider or winding up  liquidation of Service Provider whether voluntary or otherwise v This Guarantee shall be a continuing guarantee during its validity period vi This Guarantee shall remain in full f orce and effect for a period of  years  months from the date of the issuance ie  up to  Unless a claim under this Guarantee is made against us on or before   all your rights under this Guarantee shall be forf eited and we shall be relieved and discharged from all liabilities there under vii This Guarantee shall be governed by Indian Laws and the Courts in Mumbai India alone shall have the jurisdiction to try  entertain any,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Governing Law,Specifies the jurisdiction under which the guarantee is governed.,This guarantee shall be governed by the laws of Singapore.
i Our liability under this Bank Guarantee shall not exceed Rs  Rs only,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
iii We are liable to pay the guaranteed amount or any part thereof under this Bank Guarantee only and only if SBI serve upon us a written claim or demand on or before  Yours faithfully,Onerous,"Onerous clause due to the following reason(s): By accepting liability to pay regardless of defaults by the applicant, the bank assumes principal risk.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
EMD BANK GUARANTEE FOR NAME OF SERVICES TO STATE BANK OF INDIA TO MEET SUCH REQUIRMENT AND PROVIDE SUCH SERVICES AS ARE SET OUT IN THE RFP NOSBIxxxx DATED ddmmyyyy,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
2  It is one of the terms of said Request for Proposal that the Bidder shall furnish a Bank Guarantee for a sum of Rs Rupees  only as Earnest Money Deposit,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
3  Ms   hereinafter called as Bidder who are our constituents intends to submit their Bid for the said work and have requested us to furnish guarantee in respect of the said sum of Rs Rupees  only,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
4  NOW THIS GUARANTEE WITNESSETH THAT We  Bank do hereby agree with and undertake to the State Bank of India their Successors assigns that in the event of the SBI coming to the conclusion that the Bidder has not performed the ir obligations under the said conditions of the RFP or have committed a breach thereof which conclusion shall be binding on us as well as the said Bidder we shall on demand by the SBI pay without demur to the SBI a sum of Rs   Rupees   Only  that may be demanded by SBI Our guarantee shall be treated as equivalent to the Earnest Money Deposit for the due performance of the obligations of the Bidder under the said conditions provided however that our liability agains t such sum shall not exceed the sum of Rs   Rupees  Only 5 We also agree to undertake to and confirm that the sum not exceeding Rs  Rupees  Only as aforesaid shall be paid by us withou t any demur or protest merely on demand from the SBI on receipt of a notice in writing stating the,Onerous,"Onerous clause due to the following reason(s): This phrase waives the bankÃ¢â‚¬â„¢s right to object or seek clarification, which is highly unfavorable and risky. Such wording legally binds the bank to all terms strictly, increasing liability regardless of circumstances.",Performance,Ensures the supplier fulfills contract obligations; may be invoked for non-performance.,"If the supplier fails to meet the delivery schedule, the performance guarantee shall be forfeited."
amount is due to them and we shall not ask for any further proof or evidence and the notice from the SBI shall be conclusive and binding on us and shall not  be questioned by us in any respect or manner whatsoever We undertake to pay the amount claimed by the SBI without protest or demur or without reference to Bidder and not withstanding any contestation or existence of any dispute whatsoever between Bidder  and SBI pay SBI forthwith from the date of receipt of the notice as aforesaid We confirm that our obligation to the SBI under this guarantee shall be independent of the agreement or agreements or other understandings between the SBI and the Bidder This  guarantee shall not be revoked by us without prior consent in writing of the SBI,Onerous,"Onerous clause due to the following reason(s): Such wording legally binds the bank to all terms strictly, increasing liability regardless of circumstances.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
a Any forbearance or commission on the part of the SBI in enforcing the conditions of the said agreement or in compliance with any of the terms and conditions stipulated in the said Bid andor hereunder or granting of any time or showing of any indulgence by the SBI to the Bidder or any other matter in connection therewith shall not discharge us in any way our obligation under this guarantee  This guarantee shall be discharged only by the performance of  the Bidder of their obligations and in the event of their failure to do so by payment by us of the sum not exceeding Rs   Rupees  Only b Our liability under these presents shall not exceed the sum of Rs  Rupees  Only c Our liability under this agreement shall not be affected by any infirmity or irregularity on the part of our said constituents in tendering for the said work or,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Performance,Ensures the supplier fulfills contract obligations; may be invoked for non-performance.,"If the supplier fails to meet the delivery schedule, the performance guarantee shall be forfeited."
their obligations there under or by dissolution or change in the constitution of our said constituents d This guarantee shall remain in force upto 180 days provided that if so desired by the SBI this guarantee shall be renewed for a further period as may be indicated by them on the same terms and conditions as contained herein e Our liability under this presents will terminate unless these presents are renewed as provided herein upto 180 days or on the day when our said constituents comply with their obliga tions as to which a certificate in writing by the SBI alone is the conclusive proof whichever date is earlier f Unless a claim or suit or action is filed against us on or beforedate to be filled by BG issuing bank all the rights of the SBI against  us under this guarantee shall be forfeited and we shall be released and,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Performance,Ensures the supplier fulfills contract obligations; may be invoked for non-performance.,"If the supplier fails to meet the delivery schedule, the performance guarantee shall be forfeited."
discharged from all our obligations and liabilities hereunder g This guarantee shall be governed by Indian Laws and the Courts in Mumbai India alone shall have the jurisdiction to try   entertain any dispute arising out of this guarantee Notwithstanding anything contained hereinabove a Our liability under this Bank Guarantee shall not exceed Rs  Rupees only b This Bank Guarantee shall be valid upto  c We are liable to pay the guaranteed amount or any part thereof under this Bank Guarantee only and only if you serve upon us a written claim or demand on or before,Onerous,"Onerous clause due to the following reason(s): This indicates the guarantee will be honored regardless of other contractual terms or disputes, which overrides protective clauses. By accepting liability to pay regardless of defaults by the applicant, the bank assumes principal risk.",Performance,Ensures the supplier fulfills contract obligations; may be invoked for non-performance.,"If the supplier fails to meet the delivery schedule, the performance guarantee shall be forfeited."
BANK GUARANTEE FORMAT FOR SECURITY DEPOSIT On Rs 50  Non judicial Stamp Paper Date of Issue  Effective Date    Expiry Date  Value of BG  1 The Chairma n  cum  Managing Director Coal India Limited 10 Netaji Subhash Road Kolkata  700 001,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Expiry,Defines the date until which the guarantee remains valid.,"This guarantee shall remain valid until December 31, 2025."
In consideration of Coal India Limited of 10 Netaji Subhash Road Kolkata  700 001 name of the subsidiary Company having its Registered Office at   regd address of the subsidiary Company and Sales Office at  address of the sales office of the subsidiary Company hereinafter referred to as  Seller  which expression shall unless excluded by or repugnant to t he subject or context include its legal representatives successors and permitted assigns having agreed to supply CoalImported Coal to Name of the Company Partnership firm Proprietor having its registered office at  address of the Company Partnership firm Proprietor hereinafter referred to as the  Purchaser  which term shall unless excluded or repugnant to the subject or context include its legal representatives successors and permitted assigns in  case of Company and the Purchaser being required to furnish the Security Deposit as per the terms of the Fuel,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
We  Name and address of the Bank having its Head Office at  Address of the  Head Office of the Bank hereinafter called the Guarantor which expression shall unless repugnant to the context or meaning thereof include its successors administrators executors and assigns do hereby irrevocably and unconditionally guarantee and undertake to pay Seller or such other place or places as may be directed by the Seller all amounts payable by the Purchaser to the extent of Rs   Indian Rupees  at any time upto date  that is sixty four 64 months from the date of issue of the Bank Guarantee subject to the following terms and conditions  ,Onerous,"Onerous clause due to the following reason(s): The clause requires the bank to honor the guarantee without placing any conditions, which removes the bankÃ¢â‚¬â„¢s ability to verify legitimacy before paying. The use of 'irrevocably' binds the bank to the guarantee until its expiry, limiting the bankÃ¢â‚¬â„¢s flexibility to exit or alter the terms.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
2 The Seller shall have the fullest liberty without reference to the Guarantor and without affecting this g uarantee to postpone at any time or from time to time the exercise of all or any of its powers and rights under arrangement made with the Purchaser and the Guarantor shall not be released from this guarantee by any arrangement between the Seller and the P urchaser or any alteration thereof  made with or without the consent  of the Guarantor or by exercise or non exercise by the Seller of all or any of its powers and rights against the Purchaser or any other forbearance act of omission on the part of the Seller or  indulgence granted by or on behalf of the Seller to the Purchaser which under the law relating to surety ship would but for this provision have the effect of releasing the Bank as Guarantor from their obligations under this guarantee,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Performance,Ensures the supplier fulfills contract obligations; may be invoked for non-performance.,"If the supplier fails to meet the delivery schedule, the performance guarantee shall be forfeited."
4 It is also agreed that Seller will be entitled at its option to enforce this guarantee against the Guarantor as principal debtor in the instance notwithstanding any other security or guarantee that the Seller may h ave in relation to the Purchasers liability,Onerous,"Onerous clause due to the following reason(s): This indicates the guarantee will be honored regardless of other contractual terms or disputes, which overrides protective clauses.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
5 The Guarantee will remain valid for a period of sixty four 64 months from the date hereof and to such further period as may be required and agreed by the Parties and agreed by the Guarantor before the expiry of the aforesaid validity,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Expiry,Defines the date until which the guarantee remains valid.,"This guarantee shall remain valid until December 31, 2025."
6 The Guarantee shall cover all claims or demand of Seller to the extent of the amount guaranteed,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
7 Notwithstanding anything contained the liability of the Guarantor under this Agreement is restricted to Rs    Indian Rupees  and the same will remain in force upto and including the day of date that is sixtyfour 64 months from the issue of the Bank Guarantee and to such further period as may be required and agr eed by the Parties and  agreed by the Guarantor before the expiry of the aforesaid validity,Onerous,"Onerous clause due to the following reason(s): This indicates the guarantee will be honored regardless of other contractual terms or disputes, which overrides protective clauses.",Expiry,Defines the date until which the guarantee remains valid.,"This guarantee shall remain valid until December 31, 2025."
8 This guarantee can be enforced by Seller any number of times for their claims or demand to the total extent of Rs   Indian Rupees   as long as it remains in force,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
9 Unless a demand or claim under this guarantee is received by the Guarantor within the period mentioned in clause 5 and 7 hereof all rights of the Seller shall be forfeited and the Guarantor shall be relived  or discharged from all liabilities,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
10 The guarantee is operative at our   name and address of the branch Branch Sambalpur  Place,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
To be stamped as an agreement Not to be attested AGREEMENT  OF GUARANTEE BY  Insert the name of the Guarantor 1  Insert the name of the Guarantor 2 Insert the name of the Guarantor 3 IN FAVOUR OF THE SOUTH INDIAN BANK LTD Amount  Rs,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
This forms part of the Agreement of Guarantee  executed by Insert the name of the Guarantors   in favour of The South Indian Bank Ltd  dated ,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
THIS AGREEMENT  OF GUARANTEE  is made at the place and date as specified in Schedule I a by the persons whose names and addresses are as specified in Schedule I b hereinafter referred to as the  Guaranto rs which expression shall unless repugnant to the context or meaning thereof include its successors and assigns and all persons de riving claiming title there under  IN FAVOUR OF The South Indian Bank Ltd a banking company incorporated under the Companies Act 1913  and having its Registered Office at SIB House TB Road Mission Quarters Thrissur and one of its Branch Offices at the place specified in Schedule I c hereinafter referred to as the  Bank  which expression shall unless repugnant to the context or meaning thereof include its successors and assigns  WHEREAS at the request of the persons whose names and addresses  are as specified in Schedule I d  hereinafter referred to as the  Borrower s which expression shall unless repugnant to the context or meaning thereof shall be deemed to include hishertheir heirs legal representatives,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
executors administrators s uccessors and assigns and also on myour request the Bank has allowedagreed to allowcontinueenhance credit facilities aggregating the sum of more fully described under Schedule II  a of this agreement  subject to such terms and conditions stipulated in the sanction letter credit facility agreement demand promissory note if any andor other loansecurity documents and the Borrower has executed the required documents as stated in Schedule II b of this Agreement IN CONSIDERATION of the Bank allowi ngcontinuingenhancing credit facilities both fund based and non fund based as mentioned in Schedule II a of this agreement  in the account of the Borrower the guarantors hereby jointly and severally agree with and unconditionally absolutely and i rrevocably guarantee to the Bank the due payment and discharge on demand of all amounts due and payable to the Bank by the Borrower at any time and also of all bills promissory notes or guarantees held by the Bank in respect of the credit facilities toget her with interest commission,Onerous,"Onerous clause due to the following reason(s): The clause requires the bank to honor the guarantee without placing any conditions, which removes the bankÃ¢â‚¬â„¢s ability to verify legitimacy before paying.",Financial Obligation,Guarantees financial payments such as advance payments or loan repayments.,"This guarantee secures an advance payment of $1,000,000 to the contractor."
banking and other charges costs expenses etc provided nevertheless that the liability of Guarantors under this guarantee shall not exceed in the whole the sum of the amount more fully mentioned in Schedule III of this Ag reement apart from and in addition to all interest commission banking law  and other charges costs expenses etc above referred to The guarantors further agree with the bank as follows  1 This guarantee shall be a continuing security for all amounts advanced by the Bank to the Borrower in respect of or under the aforesaid credit facilities as also for all interest costs and other monies which may from time to time become due and remain unp aid to the Bank thereunder and shall not be determined or in any way be affected by any account or accounts opened or to be opened by the Bank becoming nil or coming into credit at any time or from time to time or by reason of the said account or accounts being closed and fresh account or accounts being opened in respect of fresh facilities being granted within the overall limit sanctioned,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Governing Law,Specifies the jurisdiction under which the guarantee is governed.,This guarantee shall be governed by the laws of Singapore.
to the Borrower This guarantee shall be binding on the guarantors and heirs legal representatives executors admin istrators successors assignees etc  The guarantors shall not be released from liability in respect of the credit facilities covered by this guarantee in the event of any omission delay or default in presentation of bill or in issue of notice of disho nour on the part of the Bank This guarantee shall continue in force,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
notwithstanding the discharge of the Borrower by operation of law or death of guarantors and shall cease only on payment of the amount guaranteed hereunder by the guarantors 2 In th e event of any default on the part of Borrower in paymentrepayment of any of the moneys referred to above or in the event of any default on the part of the Borrower to comply with or perform any of the terms conditions and covenants contained in the Loa n AgreementsDocuments the Guarantors shall upon demand forthwith pay to the Bank without demur all of the amounts payable by the Borrower under the Loan AgreementsDocuments 3 The Guarantors shall also indemnify and keep the Bank indemnified against all losses damages costs claims and expenses whatsoever which the Bank may suffer pay or incur of or in connection with any such default on the part of the Borrower including legal proceedings taken against the Borrower andor the Guarantors for recovery of the monies referred above 4 This Guarantee is additional and without prejudice to any,Onerous,"Onerous clause due to the following reason(s): This phrase waives the bankÃ¢â‚¬â„¢s right to object or seek clarification, which is highly unfavorable and risky.",Financial Obligation,Guarantees financial payments such as advance payments or loan repayments.,"This guarantee secures an advance payment of $1,000,000 to the contractor."
securities or obligations which the Bank may now or hereafter have in respect of any indebtedness or liabilities hereby guaranteed and all rights and re medies in respect thereof are reserved 5 The Guarantors hereby agree that without the concurrence of the Guarantors the Borrower and the Bank shall be at liberty to vary alter or modify the terms and conditions of the Loan AgreementDocuments and of the security documents executed by the Borrower in favour of the Bank and in particular to defer postpone or revise the repayment of the Loans andor payment of interest and other monies payable by the borrower to the Bank on such terms and conditions as may be considered necessary by the Bank including any increase in the rate of interest  The Guarantors agree that the liability under the Guarantee shall in no manner be effected by such variations alterations modifications waiver and that no fur ther consent of the Guarantors is required for giving effect to any such variation alteration modification or waiver  The,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Performance,Ensures the supplier fulfills contract obligations; may be invoked for non-performance.,"If the supplier fails to meet the delivery schedule, the performance guarantee shall be forfeited."
Guarantors expressly agrees that the Bank shall have full discretionary power without further assent or knowledge of guarant ors and without discharging or in any way affecting the liability of guarantors  under this guarantee from time to time AND at any time to negotiate with the Borrower and settle andor alter the terms and conditions to promise to grant time or indulg ence to or not to sue the Borrower or any persons liable with or for Borrower whether as guarantor or otherwise or make any other arrangement with the Borrower or any persons so liable with or for the Borrower as the Bank may deem fit and to hold over  renew vary exchange or release in whole or in part and from time to time any securities held or to be held by the Bank for or on account of the moneys and liabilities intended to be hereby secured or any part thereof  The Guarantors also agree that the Guarantors shall not be discharged from liability by the Bank releasing the Borrower or by any of its act or omission the legal consequences of which,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
Guarantors shall not be entitled to any of the rights conferred on sureties by Sections 133 134 135 139 and 141 of the Indian Contract Act  And the Guarantors further expressly agree that the Bank shall also have discre tionary power without further assent or knowledge of Guarantors or without discharging or in any way affecting the liability of Guarantors under the Guarantee from time to time and at any time to agree to the variations of the terms and conditions of a ll or any of the terms and conditions of credit facilities grantedto be granted to the Borrower   The Guarantors hereby agree and give consent to the sale mortgage on prior pari passu or second charge basis release etc of any of the assets by the Borrower from time to time as may be approved by the Bank or the transfer of any of the assets of the Borrower from one unit to other or to the release or lease out by the Bank any or whole of the assets charged to the Bank on such terms and conditions as t he Lenders may deem fit and this may be,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
treated as standing and continuing consent for each and every individual act of transfer mortgage release or lease of any of such assets by the Borrower The Guarantors hereby declares and agrees that no separat e consent for each such transfer mortgage release or lease of any of such assets would become necessary in future 6 The Guarantors also agree that any admission or acknowledgement in writing by the Borrower of the amount of indebtedness of the Borrow er or otherwise in relation of the subject matter of this guarantee shall be binding on the guarantors and the guarantors accept the correctness of any statement of account served on the Borrower by the Bank and the same shall be binding and conclusiv e as against the guarantors also and the guarantors agree that in making an acknowledgement or making a payment the Borrower shall be treated as duly authorized agent of Guarantors for the purposes of Section 18 and 19 of Indian Limitation Act 1963 7 The Bank may recover against the guarantors to the,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Financial Obligation,Guarantees financial payments such as advance payments or loan repayments.,"This guarantee secures an advance payment of $1,000,000 to the contractor."
extent herein before mentioned notwithstanding that the Borrower or his agents partners directors or officers may have exceeded his or their powers or that the arrangements with the Bank may have b een ultra vires and without being bound to enforce its claim against the Borrower or any other persons or other security held by the Bank  The Bank shall not be bound to enquire into the powers of the Borrower or his agents or partners directors or off icers purporting to act on behalf of the Borrower and all moneys due or liabilities incurred shall be deemed to form part of the present guarantee notwithstanding that the Borrower or his agents partners directors and officers may have exceeded hisher o r their powers or the arrangement with the Bank may have been ultra vires 8 The Guarantors waive in favour of the Bank all or any of the rights of Guarantors against the Bank or the Borrower as may be necessary to give effect to any of the provisions  of this guarantee 9 The Bank may enforce the guarantee,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
Guarantors is coextensive with that of the Borrowers and as between the Bank and the Guarantors the Guarantors have agreed to  be the principal borrowers 10 The Guarantors declare that the Guarantors hashave  not received any security from the Borrower for the giving of this guarantee and the Guarantors agree that so long as any moneys remain owing by the Borrower to the  Bank or any liability incurred by the Bank remains outstanding the Guarantors will not take any security in respect of histheir liability hereunder without first obtaining the Banks written consent and the Guarantors agree that in the event of taki ng any such security the amount for which the Guarantors isare liable under this Guarantee shall be increased by the amount by which dividend payable by the Borrower to the Bank on a winding up is thereby diminished The guarantors hereby undertake tha t no commission brokerage fees etc in any form directly or indirectly will be demanded or received by us as consideration for the guarantee from the borrower for extending this,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Renewal/Extension,Covers the process for extending the validity of the guarantee.,"In case of project delays, the validity of the guarantee shall be extended upon request."
guarantee 11 The Guarantors further agree that in respect of  liability o f Guarantors  hereunder the Bank shall have a lien on all securities belonging to the Guarantors now or hereafter held by the Bank and all moneys now or hereafter standing to the credit of Guarantors with the Bank on current account or any other acco unt 12 As this guarantee shall be applicable to the ultimate balance that may become due to the Bank from the Borrower and until repayment of such balance the Bank shall be entitled to retain realize or otherwise dispose of in such manner as the Bank m ay think fit any securities now or hereafter held by the Bank and without any liability to account to the Guarantors for any portion of such securities or of the proceeds thereof until all the claims of the Bank have been fully satisfied and in the mean time the Guarantors will not take any steps to enforce any right or claim against the Borrower in respect of any moneys paid by the Guarantors to the Bank hereunder  And further that if the Bank should receive payment from,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Financial Obligation,Guarantees financial payments such as advance payments or loan repayments.,"This guarantee secures an advance payment of $1,000,000 to the contractor."
14 This guarantee shall be irrevocable and enforceable agains the Guarantors notwithstanding any dispute between the Bank and the Borrower 15 This guarantee shall not affect or be affected by any othe r or further securities taken or held by the Bank or by any loss of any primary collateral or other security nor by the Bank failing to recover by the realization of securities or otherwise any such sum or sums due from the Borrower or any other persons  or any laches on the part of the Bank nor the Bank shall be responsible to the Guarantors for any such loss or laches 16 The liability of the Guarantors under this Guarantee shall not be effected by  a Any change in the constitution or winding u p of the Borrower or any absorption merger or amalgamation of the Borrower with any other Company Corporation or Concern or b Any change in the management of the Borrower or take over of the management of the Borrower by Central or State Government or by any other authority or c,Onerous,"Onerous clause due to the following reason(s): This indicates the guarantee will be honored regardless of other contractual terms or disputes, which overrides protective clauses.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
Acquisition or nationalization of the Borrower andor of any of its undertakings pursuant to any Law or d Any change in the constitution of the Bank or e Any change in the set up of the Guarantors which may be way of c hange in the constitution winding up voluntary or otherwise absorption merger or amalgamation or otherwise f The absence or deficiency of powers on the part of the Guarantors to give guarantees andor indemnities or any irregularity in the exercise  of such powers 17 Should the Borrower be a limited company corporate or unincorporated body committee firm partnership trustees or debtors on a joint account the provisions hereinbefore contained shall be construed and take effect where necessary as if words importing the singular number included also the plural number  This guarantee shall remain effective notwithstanding any death retirement change accession or addition as fully as if the person or persons constituting or trading or acting as such body,Onerous,"Onerous clause due to the following reason(s): This indicates the guarantee will be honored regardless of other contractual terms or disputes, which overrides protective clauses.",Governing Law,Specifies the jurisdiction under which the guarantee is governed.,This guarantee shall be governed by the laws of Singapore.
committee firm partnership trustees or debtor on joint account at the date of the Borrowers default or at any time previously was or were the same as the date hereof 18 In the event of there being more than one guarantor the liability o f the remaining guarantors shall not be affected or released or given up by time or other indulgence to one or more of the guarantors nor by the death of any one or more the guarantors until notice shall have been given to the Bank as provided in Clause 1 hereof 19 The Bank shall be entitled to fix with the Borrower a period for credit facilities and to alter or extend such a period from time to time  The Bank shall be entitled from time to time to periodically renew the credit facilities without the consent and knowledge of the guarantors and take renewals of loan and security documents wherever necessary from the Borrower alone  The Bank shall be entitled to take single document for the whole amount hereby guaranteed or to split up the,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Renewal/Extension,Covers the process for extending the validity of the guarantee.,"In case of project delays, the validity of the guarantee shall be extended upon request."
