Paragraph,Clause Type,Clause Meaning,Clause Example
22 Ordinarily the period of debarment should  not be less than six months,Debarment Period,,"In the context of bank guarantees, a debarment period clause specifies a duration during which a party (often a contractor or a guarantor) is prohibited from participating in certain activities or bidding for new contracts, typically as a penalty for non-compliance or misconduct."
23 In case of shortage of suppliers in a particular group such debarment may also hurt the interest of procuring entitles In such cases endeavor should be to pragmatically analyze the circumstances try to reform the suppl ier and may get a written commitment from the supplier that its performance will improve 24 The information of each debarment case will be forwarded to DoF through Corporate technical department,Operational Procedure,,"This type of clause outlines the procedures or steps to be taken in certain situations related to the operations of a contract or an agreement. Typically, it doesn’t involve direct terms of the financial or performance guarantee but rather deals with the administrative or procedural aspects affecting the stakeholders involved in the agreement."
TRADE RECEIVABLES e DISCOUNTING SYSTEM  TReDS    As an initiative of Government of India  RBI towards Make in India Skill India  Financial Inclusion to provide a platform for bill discounting for MSME vendors Rashtriya Chemicals and Fertilizers Limited RCF has entered into an association  agreement with following 3 three financial institutions  1 Receivables Exchange of India RXIL which is a joint venture between National Stock Exchange and SIDBI,Association/Partnership Agreement,,"This type of clause typically outlines the agreement or collaboration between two or more parties, often detailing the purpose of the association and the roles each entity will play. It sets the foundation for a collaborative relationship focusing on achieving common goals, where each party brings in its unique capabilities and resources."
2 A Treds a joint venture between Axis Bank and Mjunction Services and 3 Mynd Solution which runs M1 Exchange Contact details are given below  Name of Exchange  Contact Name  Contact No  Email id RXIL Mandar Hukeri  9819611681  mandarhukerirxilin A Treds  Ms Deepa Rath  9980771532  Deeparathinvoicemartcom,Contact Details,,"A contact details clause in a bank guarantee or any contract specifies the information necessary to communicate with the involved parties effectively. This typically includes the names, telephone numbers, email addresses, and possibly physical addresses of the relevant contacts who can be approached for queries or further communication related to the execution, management, or enforcement of the contract or guarantee."
Mr Hitesh Popli  9930061225  hiteshpopliinvoicemartcom M1 Exchange  Jacob Raphael V  7506197628  jacobrm1xchangecom Nieshant Nagda  9870337378  nishantnagdam1xchangecom  MSE vendors can register on  a digital platform which connects MSME sellers and their Buyers to multiple financiers It enables MSME sellers under an efficient  transparent bidding mechanism to sell their invoices to financiers thus unlocking working capital  generating liquidity quickly without impacting their relationship with Buyers ,"The provided text does not appear to directly fit into any commonly recognized bank guarantee clause type, such as Expiry, Demand, Claim Period, Governing Law, etc. Instead, it seems to describe an operational process related to a digital platform for invoice financing. Therefore, it's more observational and explanatory about a business operation rather than stipulating specific terms or conditions related to a legal guarantee or contract. However, if necessary to classify, it might be viewed under a type like ""Operational Details"" or ""Service Description.""",,Service Description
Benefits to MSME Seller 1 Timely  Cheap finance without any collateral  loan  debt and no recourse to the MSME Seller 2 MSME Seller can get payments in less than 48 hours from submitting invoice on the platform thus improving cash flows 3 Online  transparent bidding mechanism coupled with Buyer credit profile ensures most competitive rates and significant reduction in cost of funds for MSME,Benefits/Features Clause,,This type of clause typically outlines the advantages or benefits that one or more parties to the agreement stand to gain from complying with the terms of the contract or from the implementation of a particular aspect of the contract.
4 Funding is without recourse to Seller thus payment once received through Platform cannot be recalled by the Financier Steps Involved for registration at Platform 1 Acceptance of Offer Letter 2 Onetime Submission of KYC and On boarding documents 3 Verification of Documents by individual agencies each of above as per RBI guidelines 4 Execution of Agreement with by individual agencies each of above 5 Registering of MSME seller 6 Activation of User ID and Password for MSME seller 7 Issuance of User ID and Password to MSME seller 8 Commencement of transactions on Platform A dedicated customer Management Team will be avail able for all the TReDS Platform by these platforms for any related queries RCF will not entertain any,Non-Recourse Clause,,"A non-recourse clause in the context of bank guarantees and financial transactions stipulates that the financier (or lender) or any other party extending finance cannot pursue the seller (or borrower) personally in case of non-payment. Instead, the financier's recovery options are limited to the collateral specified in the agreement or the funds already provided through specific stipulated channels. The obligation to repay does not extend beyond the specific terms of the contract or the handled assets."
A payment to be taken through TReDS or directly from RCF is a sole discretion of the vendor RCF shall not intervene in the vendors decision to place their invoices on TReDS Platform or directly taking payments from RCF,Payment Method,,"This type of clause specifies the methodologies or procedures through which payments should be made under a contract. It delineates the responsibilities and choices of the parties involved regarding the modes of payment, ensuring clarity on how financial transactions are to be conducted and processed between the involved entities."
TReDS option shall only be given to the MSME vendors and any other vendor NOT registered as MSME with RCF cannot avail this facility,Eligibility,,"An eligibility clause in a bank guarantee specifies the criteria or conditions that must be met for parties or entities to qualify or be considered as valid participants under the agreement. This typically serves to clearly define who can or cannot benefit from the associated services or guarantees, thus ensuring that the scope of the guarantee is well outlined to prevent misuse or misunderstanding."
Restrictions under Rule 144 xi of the General Financial rules GFRs  2017  NOTE Bidder should give declaration and certificate as per Office Memorandum no 6182019 PPD dt 23072020 issued by Department of Expenditure under Ministry of Finance and conditions under Rule 144 xi shall be applicable to this notice inviting tender,Compliance Requirement,,"A compliance requirement clause in a bank guarantee or a tender document stipulates that the contracting parties must adhere to certain regulatory standards or rules. This type of clause ensures that all contractual activities align with relevant legal and regulatory frameworks, helping manage risk and enforceability."
I Any bidder from a country which shares land border with India will be eligible to bid in this tender only if the bidder is registered with the competent Authority ,Eligibility Requirement,"This clause specifies the conditions or criteria that must be met for a party to be considered eligible to participate in a tender, contract, or any agreement. Eligibility requirements may relate to geographic, regulatory, financial, or other qualifying factors that determine who can or cannot participate in an agreement or bid.","2015 are eligible to participate in this procurement process."""
II Bidder including the term tenderer  consultant or service provider in certain contexts means any persons or firm or company  including any member of a consortium or joint venture that is an association of several persons  or firms or companie s every artificial juridical person not falling in any of the descriptions of bidders stated here before including any agency branch or office controlled by such person participating in a procurement process,Definitions,,"The ""Definitions"" clause in a contract or bank guarantee provides precise meanings to specific terms used throughout the document. This is critical as it helps all parties understand exactly what certain terms refer to, promoting clarity and reducing ambiguity in interpreting the text of the agreement."
III Bidder from a country which shares a  land border with India for the purpose of this Order means   a An entity incorporated  established or registered in such a country or b A subsidiary of an entity incorporated established or registered in such a country or c An entity substantially contro lled through entities incorporated established or registered in such a country or d An entity whose beneficial owner is situated in such a country or e An Indian or other agent of such an entity  or f A natural person who is a citizen of such a country or g A consortium or joint venture where any member of the consortium or joint venture falls under any of the above,Eligibility or Qualification Criteria,,
IV The beneficial owner for the purpose of iii above under   1 In Case of a company of Limited Liability Partnership the beneficial owner is the natural person s who whether acting alone or together or through one or more juridical person has a controlling ownership interest or who exercises control through other means,Beneficial Ownership,,"A Beneficial Ownership clause in the context of bank guarantees and similar financial or legal documents identifies the actual person(s) who ultimately owns or controls the interest in a company, despite the company being the legal owner on record. This clause is significant for clarifying the control and economic benefits deriving from an entity, which is crucial for compliance with legal and regulatory requirements, particularly in identifying and preventing money laundering and tax evasion."
Explanation   a Controlling ownership interest  means ownership of a  entitlement to more than twenty five percent Of Shares or capital or profits of the company,Definition Clause,,"A definition clause in a legal document, such as a contract or a bank guarantee, specifies the meaning of terms used within the document. This is crucial for establishing clear, unambiguous interpretations of the terms and conditions set forth in the document. Definition clauses help avoid confusion and potential disputes by ensuring that all parties have a common understanding of key terms."
b Control  shall include the right to appoint majority of the directors or to control the management or policy decisions including by virtue of their shareholding or management rights or shareholders agreements or voting agreements,Control Clause,,"A control clause defines what constitutes control over a company, typically referring to the ability to guide or regulate the company's decisions, most often through majority ownership, directorship, voting rights, or other contractual arrangements. It is crucial in contractual settings to establish which entity or person has the commanding influence, particularly relevant in acquisitions and joint ventures."
2 In case of a partnership firm t he beneficial owner is the natural persons who whether acting alone or together or through one or more juridical person has ownership of entitlement to more than fifteen percent of capital or profits of the partnership,Beneficial Ownership,,"Beneficial Ownership clauses identify the natural persons (beneficial owners) who hold significant control or ownership in an entity, despite not being the legal owners. This is significant for transparency and compliance, especially under anti-money laundering laws and other financial regulations."
3 In case of an unincorporated as sociation or body of individuals the beneficial owner is the natural persons who whether acting alone or together or through one or more juridical person has ownership of or entitlement to more than fifteen percent of the property or capital or profi ts of such association or body of individuals,Beneficial Ownership Disclosure,,"This type of clause specifies the identification and disclosure requirements related to individuals who ultimately own or control a significant portion of an entity. It's crucial for compliance with regulatory and due diligence processes, ensuring transparency and legality in financial dealings and obligations."
4 Where no natural person is identified under 1 or 2 or 3 above the beneficial owner is the relevant natural person who holds the position of senior managing official,Beneficial Ownership Identification,,"This clause relates to identifying the beneficial owner of a bank guarantee when no natural person is directly specified. The clause aims to establish the individual who has ultimate effective control over the bank guarantee, specifically when entities like trusts or companies are involved."
5 In case of a trust the identificati on of beneficial owner s shall include identification of the author of the trust the trustee the beneficiaries with fifteen percent or more interest in the trust and any other natural person exercising ultimate effective control over the trust through a chain of control or ownership,Beneficial Ownership Identification,,This type of clause requires the identification of all parties who have significant control or interest in a trust involved in the transaction underpinning the bank guarantee. This is crucial in ensuring transparency and compliance with regulatory requirements concerning anti-money laundering and counter-terrorism financing.
V An Agent is person employed to do any act for another or to represent another in dealings with third person,Definition,,"A definition clause in a contract or agreement clarifies the meaning of certain terms used within the document. This ensures all parties have a common understanding of key terms, which helps prevent ambiguity and potential disputes about what the contract terms entail."
VI for Works contracts including Turnkey contracts The successful bidder shall not be allowed to sub  contract wor ks to any contractor from a country which shares a land border with India unless such contractor is registered with the Competent Authority,**Subcontracting Restriction**,,"This type of clause specifies restrictions or conditions under which the primary contractor can subcontract parts of the work to other entities. It often includes limitations based on geography, capabilities, or specific approvals to ensure that the subcontractors meet certain standards required by the client or to comply with geopolitical or regulatory requirements."
Model Certificate for Tenders  I have read the clause regarding restrictions on procurement form a bidde r of a country which shares a land border with India I certify that this bidder is not from such a country or if from such a country has been registered with the Competent Authority I hereby certify that this bidder fulfils all requirements in this reg ard and is eligible to be considered Where applicable evidence of valid registration by the Competent Authority shall be attached,Eligibility or Compliance Clause,,"This type of clause specifies the conditions that must be met for a party (e.g., a bidder in a procurement process) to be considered eligible or compliant with certain predefined criteria or regulations. Eligibility or compliance clauses ensure that parties participating in an agreement, tender, or contract meet all necessary legal, regulatory, or specific requirements set by the contracting entity or by law."
E M D BANK GUARANTEE FORMAT WHEREAS Ms     Name  Address of the Firm having their registered office at     Address of the firms Registered office Hereinafter called the bidder wish to participate in the tender No,Introduction/Preamble,,"The introduction or preamble of a bank guarantee sets the context of the agreement, naming the parties involved and often stating the purpose of the guarantee. This initial part may identify the guarantor, the beneficiary, and the principal, and set forth the basic premises under which the guarantee is issued."
for    NewSpace India Limited NSIL and WHEREAS a Bank Guarantee for Hereinafter called the Beneficiary Rs   Amount of EMD valid till    Mention here date of  validity of this Guarantee which from the date of the submission of Tenders offer which is required to be submitted by the bidder along with the tender,Expiry Clause,,"An expiry clause in a bank guarantee specifies the date until which the guarantee is valid. It indicates the time limit within which claims under the guarantee can be made by the beneficiary. After this date, the guarantee ceases to have effect, and the issuer (bank) is released from any liability under that guarantee."
We    Name of the Bank and address of the Branch giving the Bank Guarantee having our registered office at     address of Banks Registered office hereby give this Bank Guarantee No    dated  ,Preamble/Introduction,,"The preamble or introduction clause in a bank guarantee serves as the opening section where the issuer (the bank) formally introduces itself, states its identity (including name and address), and sets the context for the guarantee being issued. This clause usually provides foundational details, such as the guarantee number and the date of issuance, which are crucial for identifying and referencing the guarantee in all related communications and legal processes."
and hereby agree unequivocally and unconditionally to pay immediately on demand in writing from the NewSpace India Limited  or any officer authorized by it in this behalf any  amount not exceeding Rs,Demand Clause,,"A demand clause in a bank guarantee specifies that the guarantor (usually the bank) undertakes to pay the beneficiary immediately upon receipt of a demand for payment. This demand must typically meet certain prescribed conditions set out in the guarantee. The payment obligation is generally straightforward and does not depend on proving default or the occurrence of specific events, other than the presenting of the demand itself, in accordance with the terms of guarantee."
Amount  of EMD Rupees    In words to the said NewSpace India Limited on behalf of the bidder,Amount,,"This type of clause specifies the monetary obligation or the amount of money that the guarantor is liable to pay under the guarantee. It determines the financial limit of the guarantee and, hence, caps the risk exposure of the guarantor. This clause is crucial as it sets out the extent of the financial commitment involved in the transaction."
We   Name of the Bank also agree that withdrawal of the tender or part thereof by t he bidder within its validity or Non submission of Security Deposit by the bidder within one month from the date tender or a part thereof has been accepted by the NewSpace India  Limited would constitute a default on the part of the bidder and that this Ban k Guarantee is liable to be invoked and encashed within its validity by the Beneficiary in case of any occurrence of a default on the part of the bidder and that the encashed amount is liable to be forfeited by the Beneficiary,Demand/Invocation Clause,,"A Demand or Invocation Clause in a bank guarantee specifies the conditions under which the beneficiary (the party in whose favor the guarantee is issued) can invoke or demand payment under the guarantee. These conditions usually outline what constitutes a default or failure to meet obligations by the party on whose behalf the guarantee is issued (the applicant). Upon occurrence of such events, the beneficiary is empowered to demand payment from the bank, which has provided the guarantee."
This agreement shall be vali d and binding on this Bank upto and inclusive of    mention here the date of validity of Guarantee and shall not be terminable by notice or by Guarantor change in the constitution of the Bank or the firm of bidder or by any reason whatsoever and our liability hereunder shall not be impaired or discharged by any extension of time or variations or alternations made given  conceded with or without our knowledge or consent by or between the bidder and the NSIL ,Expiry,,"The expiry clause in a bank guarantee specifies the date until which the guarantee remains valid and binding. It indicates until when the bank is obligated to honor the guarantee, regardless of changes such as a modification in the constitution of the bank or the firm of the bidder. The clause ensures that the guarantee does not become invalid or terminated due to internal changes within the bank or the parties involved, or due to adjustments in the terms of the contract covered by the guarantee."
Notwithstanding anything contrary contained in any law for the time being in force or banking practice this Guarantee shall not be assignable transferable by th e beneficiary ie NSIL  Notice or invocation by any person such as assignee transferee or agent of beneficiary shall not be entertained by the Bank Any invocation of the Guarantee can be made only by the beneficiary directly,Assignability and Transferability,,"The assignability and transferability clause specifies whether the rights and obligations under a bank guarantee can be transferred or assigned to another party (i.e., a third party different from the original beneficiary). Typically, this clause prevents or restricts the beneficiary from transferring their rights under the guarantee to ensure that the bank deals directly with the original beneficiary, thereby minimizing the risk of disputes and fraud."
    in words Our Guarantee shall remain in force till     Date of validity of the Guarantee Unless demands or claims under this Bank Guarantee are made to us in writing on or before   Date of validity of the Guarantee all rights of Beneficiary under this Bank Guarantee shall be forfeited and we shall be released and discharged from all liabilities there under Place Date  Please mention here Complete Postal Address of the Bank with Branch Code Telephone and Fax Nos,Expiry,,"The Expiry clause in a bank guarantee specifies the date up until which the guarantee remains valid and enforceable. If no claim is made by the beneficiary before this date, the guarantee will expire, and the bank's obligation to pay under the guarantee ceases. Such a clause clearly defines the timeline within which any claims under the guarantee must be made, offering certainty to all parties involved in the transaction."
SIGNATURE OF THE BANKS AUTHORISED SIGNATORY WITH OFFICIAL ROUND SEAL NAME OF DESIGNATED BANKS Note 1  The Bank Guarantee BG Shall be from the Nationalize Banks or any other Banks as Notified by the Finance Department from time to time,Issuance,"This clause type defines the specifications regarding how the bank guarantee should be issued, including the authority of the signatory and the requirements for it to be considered valid. It ensures that the guarantee is properly formalized with all necessary signs of authenticity and authority.","""The Bank Guarantee must be issued on official bank letterhead, signed by a duly authorized officer of the bank, and must bear the bank's official seal."""
Note2 The BG  shall be signed by two bank officer Jointly if the amount of BG is more than Rs 50000  and BG must have proper BG number as per RBI guidelines,Execution Requirements,,"Execution requirements stipulate specific conditions under which a bank guarantee must be appropriately executed or signed off, ensuring legitimacy and compliance with certain regulatory or internal policy standards. This typically includes who must sign the document, any limits based on the value of the guarantee, and additional procedural steps such as numbering in accordance with regulatory guidelines."
Format for Advance Bank Guarantee ABG For the purpose of verificationconfirmation of this Bank Guarantee by the Owner the Bank shall indicate 2 official email ids of the authorized signatories from Issuing Branch and also of the designated higher office Corporate Office Zonal Office etc in the covering letter of the Bank forwarding the Bank Guarantee Bank Guarantee No  Date,Verification/Authentication,,"This clause type pertains to the processes and details necessary for the verification or authentication of a bank guarantee by the beneficiary (often called the ""Owner"" in a contractual context). It specifies the protocol that the issuing bank will follow to enable the beneficiary to confirm the validity and authenticity of the guarantee, such as contact details, signatory information, and official communications methods."
To RAPP Transmission Company Limited RTCL Unit No 101 First Floor Windsor Village Kolekalyan off CST Road Vidyanagari Marg Kalina Santacruz East Mumbai  400098 Dear Ladies andor Gentlemen We refer to the Contract the Contract signed on insert date of the Contract,Introduction/Recital,,"The Introduction or Recital clause in a bank guarantee or any legal document sets the stage for understanding the context of the agreement. It typically identifies the parties involved, and may reference the underlying contract including its signing date or other significant details which establish the purpose of the document."
between you and Ms  Name of Contractor  or vide notification of award issued on   February 2022 insert date of the notification of awardby you the Owner to Ms Name of Contractor  having its Registered Office at Registered address of Contractor  the Contractor for the complete execution of the Dismantling Destrining Transportation To And From Store Supply Civil Works Erection And Commissioning Services For Shifting Of 400 Kv Transmission Lines  Towers insert name of Package alongwith name of the Project Whereas in accordance with the terms of the said Contract the Owner has agreed to pay or cause to be paid to the Contractor interest bearing Advance Payments against furnishing of an irrevocable bank guarantee for amount of Amount in figures and words,Background/Recital Clause,,"This type of clause provides a background or context to the agreement, outlining the relationship between the parties and the general purpose of the contract. It often states the reasons why the contract has been entered into and may describe the principal activities that are covered by the contract. The background clause is vital for setting the stage and explaining the circumstances under which the guarantee is being issued but does not typically dictate the parties' obligations directly."
By this letter we the undersigned insert name  address of the issuing bank  a Bank which expression shall include its successors administrators executors and assigns organized under the laws of  and having its RegisteredHead Office at insert address of registered office of the bank do hereby irrevocably and unconditionally guarantee repayment of Amount of the bank guarantee in figures and words upon the first demand of the Owner without demur reservation recourse dispute protest delay proof condition cavil or argument and without in any way first pursuing or exhausting any other rights or remedies which Owner may have against the Contractor in the event that the Contractor fails to commence or fulfill its obligations under the terms of the said Contract for reasons whatsoever,Demand Clause,,"A Demand Clause in a bank guarantee specifies the conditions under which the beneficiary (Owner in this context) can demand payment from the issuing bank. It typically states that the bank will pay the specified amount upon the beneficiary's first demand, without requiring the beneficiary to prove the contractor's failure or to pursue other remedies first. This type of clause ensures immediate access to funds as guaranteed, minimizing disputes or delays in enforcement."
Any such demand made by the Owner shall be conclusive and binding notwithstanding any difference between the Owner and the Contractor or any dispute pending before any court,Demand,,"A Demand clause in a bank guarantee specifies the conditions and the manner in which demands for payment under the guarantee must be presented by the beneficiary to the guarantor (usually the bank). It outlines the process of invoking the guarantee and conditions under which the guarantor is obliged to make the payment. This type of clause often states that the demand itself is enough evidence for the guarantor to make the payment without seeking further validations or awaiting the resolution of disputes between the underlying parties (e.g., Contractor and Owner)."
tribunal arbitrator or any other authority or court Bank agrees that the guarantee herein contained shall be irrevocable and shall continue to be enforceable till this Guarantee is discharged by Owner,Irrevocability,"This type of clause specifies that the bank guarantee cannot be canceled or altered in any way once it has been issued, unless all parties involved agree to such changes. It emphasizes that the guarantee remains in effect until it is explicitly released or terminated according to the terms agreed upon.","""This Bank Guarantee is irrevocable and shall remain in full force and effect until discharged in writing by the beneficiary."""
Provided always that the Banks obligation shall be limited to the amount of this Bank Guarantee or an amount equal to the outstanding balance of the Advance Payments and the accrued interest on the Advance Payments taking into account such amounts which have been repaid by the Contractor from time to time in accordance with the terms of payment of the said Contract andor Contract as certified by you,Limitation of Liability,,The Limitation of Liability clause in a bank guarantee specifies the maximum amount for which the bank can be held liable under the guarantee. This amount typically aligns with certain conditions or thresholds related to the contract it supports. The clause protects the bank by capping its financial exposure to no more than the specified amount.
This Guarantee shall remain valid effective and in full force from the date upon which the said Advance Payments are received by the Contractor up to ninety 90 days beyond the Time for Completion as may be extended on which the entire Advance Payments along with the accrued interest if any due thereon has been fully adjusted in terms of the Contract andor Contract This Guarantee may be extended from time to time as may be desired by Ms RTCL on whose behalf this Guarantee has been issued,Expiry Clause,,"An expiry clause in the context of a bank guarantee specifies the duration of the guarantee and under what conditions it will expire or end. This clause is crucial as it defines the period during which the beneficiary can call the guarantee, ensuring that the guarantee does not remain indefinitely open."
Any claims to be made under this Guarantee must be received by the Bank during its period of validity ie upto ninety 90 days beyond the Time for Completion by the Owner ie upto and inclusive of  ddmmyy On receiving the claim notice from the Owner the Bank shall make the payment of the guaranteed amount as per the details mentioned in the claim notice no later than 1 Business day from the date of receipt of the claim notice from the Owner,Claim Period,,The Claim Period clause in a bank guarantee defines the specific time frame within which claims must be submitted to the bank for them to be valid. This clause sets the deadline by which the beneficiary must notify the bank of a claim under the guarantee to receive payment. It is crucial for maintaining the effectiveness and enforceability of the guarantee.
The Bank agrees and acknowledges that a this Guarantee is a valid up to claim expiry date and will remain in force until written claim or demand is served upon the Bank on or before the claim expiry date b the claim notice shall be conclusive evidence of the Banks liability to pay under this Guarantee and the Bank shall not be entitled to challenge or question the grounds on which such amounts have become payable or the claim notice has been issued,Expiry and Demand,,"The Expiry clause in a bank guarantee specifies the date until which the guarantee is valid, indicating the timeframe within which a valid claim can be made under the guarantee. A Demand clause outlines the conditions under which a demand for payment can be made and specifies that the bank's obligation to pay is triggered by receiving a formal demand or claim notice from the beneficiary within the valid timeframe. This clause often emphasizes that the bank must pay upon receiving this demand without disputing the grounds of the claim."
c the guaranteed amount shall be paid by the Bank without any protest or delay or condition in clear funds by crediting the bank account set out in the claim notice of the Owner in full without any setoff or counterclaim and free and clear of and without any deduction or withholding of any nature whatsoever and d this Guarantee shall not be affected impaired discharged or waived by i any changes in the constitution of the Bank ii by the liquidation winding up dissolution change of constitution insolvency or any other arrangement with the creditors of the Contractor and shall in all respects and for all purposes be binding and operative until payment of guaranteed amount under this Guarantee or until the claim expiry date whichever is earlier and iii any variation amendment or waiver of the Agreement,Payment Conditions and Irrevocability,,"This type of clause details the conditions under which the guaranteed amount is to be paid, emphasizing the obligation of the guarantor (the bank in this case) to pay without any delays, setoffs, deductions, or conditions. The clause further stresses the irrevocable nature of the guarantee, which means the guarantee remains in effect and unchanged despite any potential changes in the bank or contractor's status (e.g., insolvency, dissolution, etc.)."
Owner shall have the fullest liberty without affecting in any way the liability of the Bank under this Guarantee from time to time to extend the guarantee period basis any extensions made under the CONTRACT Owner shall have the fullest liberty without affecting this Guarantee to postpone from time to time the exercise of any power vested in them or of any right which they might have against the Contractor and to exercise the same at any time in any manner and,Flexibility/Modification Clause,,"This type of clause grants one or more parties the ability to modify certain conditions or terms of the agreement without voiding the guarantee or requiring a re-issue of the original guarantee document. It typically provides flexibility in how the terms of the contract and the accompanying guarantees can be adjusted or extended, without affecting the underlying obligations of the guarantor (in this case, the bank)."
either to enforce or to forbear to enforce any covenants contained and implied in the CONTRACT or any other course or remedy or security available to the Owner,Enforcement,,"An enforcement clause in a bank guarantee delineates the rights and actions an obligee (the beneficiary or ""Owner"" in the given clause) can undertake concerning enforcing the covenants or obligations defined in the contract. This includes whether they can seek to rectify contractual breaches through various methods or rely on the guarantees provided without necessarily enforcing the contract strictly through legal remedies."
The Bank shall not be released of its obligations under these presents by any exercise by the Owner of its liberty with reference to the matters aforesaid or any of them or by reason or any other act or forbearance or other acts of omission or commission on the part of the Owner or any other indulgence shown by the Owner or by any other matter or thing whatsoever which under law would but for this provision have the effect of relieving the Bank,Non-Release,,"A Non-Release clause in a bank guarantee specifies that certain actions or inactions by the beneficiary (in this case, the ""Owner"") do not release the guarantor bank from its obligations under the guarantee. This includes acts of forbearance, indulgence, or any legal exceptions that would otherwise relieve the bank from its duty to fulfill the conditions of the guarantee."
The Bank also agrees that the Owner at its option shall be entitled to enforce this Guarantee against the Bank as a principal debtor in the first instance without proceeding against the Contractor and notwithstanding any security or other guarantee that the Owner may have in relation to the Contractors liabilities,Principal Debtor Clause,,"A Principal Debtor Clause in a bank guarantee specifies that the guarantor (in this case, the bank) agrees to allow the beneficiary (owner) to enforce the guarantee directly against the guarantor without first having to take action against the primary obligor (contractor). This means the bank is liable as if it is the primary debtor, irrespective of any other securities or guarantees the beneficiary might hold against the primary debtor's obligations."
The Bank represents and warrants that it has the authority and capacity to issue this Guarantee and that this Guarantee constitutes valid legal and binding obligations of the Bank enforceable against it in accordance with the terms hereof If any of the provisions of this Guarantee become invalid or unenforceable in any respect under any law the validity and enforceability of the remaining provisions shall not in any way be affected or impaired,Severability,,"The severability clause in a contract or legal agreement ensures that if some sections or provisions are deemed invalid or unenforceable by a court, the rest of the agreement remains effective and binding. This is crucial for upholding the remainder of the contract, preventing the entire agreement from becoming void due to a problematic section."
This Guarantee may not be amended or modified or varied without the prior written consent of the Bank the Owner and the Contractor Neither the Bank nor the Owner shall assign their rights or transfer their rights or obligations under this Guarantee Notices or other communication required or permitted to be made hereunder shall be in writing and delivered personally or by registered post acknowledgement due or by internationally recognized courier service addressed to the intended recipient at the address of the recipient set out below a If to the Bank Insert Address b If to the Owner Unit No 101 First Floor Windsor Village Kole Kalyan off CST Road Vidyanagari Marg Santacruz East Mumbai Maharashtra  400098 or such other notice details which the Bank or the Owner may notify to the others with 5 five business days prior written notice,Amendments and Notices,,"This type of clause specifies the requirements for making amendments to the agreement (i.e., that any changes must be agreed upon in writing by all relevant parties) and details how notices or communications should be handled between the parties. Typically, it states that amendments must be made with mutual consent and outlines the methods for delivering official communications."
Any such notice or communication shall be in English and shall be deemed to have been served a if sent by hand delivery by a person when delivered b if sent by courier then on the receipt of the courier by the Bank and c if sent by registered post acknowledgement due then on acknowledgment in the due course of the post,Notice,"A notice clause in a contract specifies the methods and requirements for official communications related to the contract between the parties, including how notices should be given, to what address, and when they are considered to have been effectively received. This facilitates clear communication and provides proof of delivery, ensuring that all parties are aware of the terms and timelines.","""All notices under this Agreement must be in writing. Notices are deemed delivered when sent by certified or registered mail with postage prepaid, addressed to the party at its specified address, or when sent by email to the party’s designated email address, with confirmation of receipt."""
Notwithstanding anything contained herein 1 Our liability under this Bank Guarantee shall not exceed  value in figures  value in words,Limitation of Liability,,The Limitation of Liability clause in a bank guarantee specifies the maximum amount that the bank is obligated to pay under the guarantee. This cap is critical as it clearly sets the financial exposure and risk the bank will accept in connection with the guarantee.
3 We are liable to pay the guaranteed amount or any part thereof under this Bank Guarantee only  only if we receive a written claim or demand on or before  validity date,Expiry,,"The Expiry clause in a bank guarantee specifies the date by which a claim must be made in order for it to be valid. After this date, the guarantor (the bank) is no longer liable to pay under the terms of the guarantee. This clause is crucial as it defines the time frame during which the beneficiary must act to enforce the guarantee."
For and on behalf of the Bank Signature of the authorised signatoryies Signature,Execution Clause,,"The execution clause specifies the formalities regarding the signing of the guarantee by the bank's authorized representative(s). It confirms the signatory’s authority to bind the bank to the terms of the guarantee, ensuring that the guarantee is legally enforceable."
Format for Contract Performance Bank Guarantee CPBG Dated INSERT Bank Guarantee No INSERT Date INSERT BG Amount Rs PLEASE INSERT VALUE Validity PLEASE INSERT DATE To RAPP Transmission Company Limited RTCL Unit No 101 First Floor Windsor Village Kolekalyan off CST Road Vidyanagari Marg Kalina Santacruz East Mumbai  400098 India Ms RAPP Transmission Company Limited hereinafter referred to as the Beneficiary or RTCL which expression shall unless repugnant to the context or meaning thereof include its successors administrators and permitted assigns has awarded to  hereinafter referred to as the Contractor which expression shall unless repugnant to the context or meaning thereof include its successors administrators executers and permitted,Expiry Clause,,"An expiry clause in a bank guarantee defines the date until which the guarantee is valid. This clause ensures all parties are aware of the deadline for any claims or activations of the guarantee. Upon reaching this date, the bank's obligation to honor the guarantee expires unless explicitly extended."
assigns a Contract Contract dated INSERT for the entire Dismantling Destrining Transportation To And From Store Supply Civil Works Erection And Commissioning Services For Shifting Of 400 Kv Transmission Lines  Towers the Project,Scope of Work,,"The ""Scope of Work"" clause in a contract or bank guarantee details the specific tasks, duties, or services to be completed as part of the agreement. It clearly outlines the work that the contractor or service provider is obliged to perform, which may include various project phases, key deliverables, and the expectations for performance. The clarity of this clause helps in setting clear boundaries and expectations for both parties, minimizing ambiguities and potential disputes related to contractual obligations."
