Paragraph,Classification,Explanation
To RAPP Transmission Company Limited RTCL Unit No 101 First Floor Windsor Village Kolekalyan off CST Road Vidyanagari Marg Kalina Santacruz East Mumbai  400098 Dear Ladies andor Gentlemen We refer to the Contract the Contract signed on insert date of the Contract,Neutral,"This clause merely provides introductory information and addresses the relevant party. It does not impose any obligations or rights, hence it is considered neutral."
between you and Ms  Name of Contractor  or vide notification of award issued on   February 2022 insert date of the notification of awardby you the Owner to Ms Name of Contractor  having its Registered Office at Registered address of Contractor  the Contractor for the complete execution of the Dismantling Destrining Transportation To And From Store Supply Civil Works Erection And Commissioning Services For Shifting Of 400 Kv Transmission Lines  Towers insert name of Package alongwith name of the Project Whereas in accordance with the terms of the said Contract the Owner has agreed to pay or cause to be paid to the Contractor interest bearing Advance Payments against furnishing of an irrevocable bank guarantee for amount of Amount in figures and words,Onerous,"The clause obligates the bank to cover interest-bearing advance payments, increasing the bank's financial risk and liability."
By this letter we the undersigned insert name  address of the issuing bank  a Bank which expression shall include its successors administrators executors and assigns organized under the laws of  and having its RegisteredHead Office at insert address of registered office of the bank do hereby irrevocably and unconditionally guarantee repayment of Amount of the bank guarantee in figures and words upon the first demand of the Owner without demur reservation recourse dispute protest delay proof condition cavil or argument and without in any way first pursuing or exhausting any other rights or remedies which Owner may have against the Contractor in the event that the Contractor fails to commence or fulfill its obligations under the terms of the said Contract for reasons whatsoever,Onerous,"The clause allows immediate payment upon demand without any conditions or rights for the bank to dispute or delay, placing significant responsibility and risk on the guarantor."
Any such demand made by the Owner shall be conclusive and binding notwithstanding any difference between the Owner and the Contractor or any dispute pending before any court,Onerous,"This clause compels the bank to pay the Owner upon any claim, disregarding any disputes between the Owner and the Contractor, potentially forcing premature or unjust payments."
tribunal arbitrator or any other authority or court Bank agrees that the guarantee herein contained shall be irrevocable and shall continue to be enforceable till this Guarantee is discharged by Owner,Neutral,"The clause ensures enforceability and irrevocability of the guarantee until discharged by the owner, typical in bank guarantees to secure performance without premature termination or dispute effects."
Provided always that the Banks obligation shall be limited to the amount of this Bank Guarantee or an amount equal to the outstanding balance of the Advance Payments and the accrued interest on the Advance Payments taking into account such amounts which have been repaid by the Contractor from time to time in accordance with the terms of payment of the said Contract andor Contract as certified by you,Neutral,"The clause restricts the bank's liability to the lesser of the guarantee amount or the outstanding advance payments plus interest, accounting for repayments, minimizing undue risk."
This Guarantee shall remain valid effective and in full force from the date upon which the said Advance Payments are received by the Contractor up to ninety 90 days beyond the Time for Completion as may be extended on which the entire Advance Payments along with the accrued interest if any due thereon has been fully adjusted in terms of the Contract andor Contract This Guarantee may be extended from time to time as may be desired by Ms RTCL on whose behalf this Guarantee has been issued,Onerous,"The clause obligates the guarantor for an extended period beyond the project's completion and adjusts for potential delays, increasing the guarantor's liability and duration of commitment."
Any claims to be made under this Guarantee must be received by the Bank during its period of validity ie upto ninety 90 days beyond the Time for Completion by the Owner ie upto and inclusive of  ddmmyy On receiving the claim notice from the Owner the Bank shall make the payment of the guaranteed amount as per the details mentioned in the claim notice no later than 1 Business day from the date of receipt of the claim notice from the Owner,Onerous,"Requires the bank to pay within one business day of receiving a claim, imposing a strict and potentially challenging timeframe for payment verification and processing."
The Bank agrees and acknowledges that a this Guarantee is a valid up to claim expiry date and will remain in force until written claim or demand is served upon the Bank on or before the claim expiry date b the claim notice shall be conclusive evidence of the Banks liability to pay under this Guarantee and the Bank shall not be entitled to challenge or question the grounds on which such amounts have become payable or the claim notice has been issued,Onerous,"The clause prevents the bank from disputing the grounds of a claim, compelling payment based solely on the claim notice, which significantly limits the bank's defenses."
c the guaranteed amount shall be paid by the Bank without any protest or delay or condition in clear funds by crediting the bank account set out in the claim notice of the Owner in full without any setoff or counterclaim and free and clear of and without any deduction or withholding of any nature whatsoever and d this Guarantee shall not be affected impaired discharged or waived by i any changes in the constitution of the Bank ii by the liquidation winding up dissolution change of constitution insolvency or any other arrangement with the creditors of the Contractor and shall in all respects and for all purposes be binding and operative until payment of guaranteed amount under this Guarantee or until the claim expiry date whichever is earlier and iii any variation amendment or waiver of the Agreement,Onerous,"The clause requires the bank to pay without any conditions, setoffs or deductions, and remains unaffected by changes in the contractor’s legal or financial status, creating substantial, unmodifiable obligations for the bank."
Owner shall have the fullest liberty without affecting in any way the liability of the Bank under this Guarantee from time to time to extend the guarantee period basis any extensions made under the CONTRACT Owner shall have the fullest liberty without affecting this Guarantee to postpone from time to time the exercise of any power vested in them or of any right which they might have against the Contractor and to exercise the same at any time in any manner and,Neutral,"The clause allows the Owner to extend the guarantee or delay exercising their rights without impacting the Bank's liability, maintaining the guarantee's validity and conditions."
either to enforce or to forbear to enforce any covenants contained and implied in the CONTRACT or any other course or remedy or security available to the Owner,Neutral,"The clause provides flexibility, allowing the owner discretion over enforcement of contract terms or choosing other remedies or securities, without imposing severe or unfair terms on the other party."
The Bank shall not be released of its obligations under these presents by any exercise by the Owner of its liberty with reference to the matters aforesaid or any of them or by reason or any other act or forbearance or other acts of omission or commission on the part of the Owner or any other indulgence shown by the Owner or by any other matter or thing whatsoever which under law would but for this provision have the effect of relieving the Bank,Onerous,The clause binds the bank to its obligations regardless of any actions or forbearances by the owner or other factors that might typically relieve the bank under general legal principles.
The Bank also agrees that the Owner at its option shall be entitled to enforce this Guarantee against the Bank as a principal debtor in the first instance without proceeding against the Contractor and notwithstanding any security or other guarantee that the Owner may have in relation to the Contractors liabilities,Onerous,"This clause allows the Owner to claim directly from the Bank without first exhausting options against the Contractor, increasing the Bank's risk and bypassing initially less drastic measures."
The Bank represents and warrants that it has the authority and capacity to issue this Guarantee and that this Guarantee constitutes valid legal and binding obligations of the Bank enforceable against it in accordance with the terms hereof If any of the provisions of this Guarantee become invalid or unenforceable in any respect under any law the validity and enforceability of the remaining provisions shall not in any way be affected or impaired,Neutral,"This clause standardly affirms the bank's authority and the guarantee's legality, adding a severability provision that maintains the effectiveness of remaining terms if one is invalidated."
This Guarantee may not be amended or modified or varied without the prior written consent of the Bank the Owner and the Contractor Neither the Bank nor the Owner shall assign their rights or transfer their rights or obligations under this Guarantee Notices or other communication required or permitted to be made hereunder shall be in writing and delivered personally or by registered post acknowledgement due or by internationally recognized courier service addressed to the intended recipient at the address of the recipient set out below a If to the Bank Insert Address b If to the Owner Unit No 101 First Floor Windsor Village Kole Kalyan off CST Road Vidyanagari Marg Santacruz East Mumbai Maharashtra  400098 or such other notice details which the Bank or the Owner may notify to the others with 5 five business days prior written notice,Neutral,"The clause standardly maintains mutual consent for modifications and communication methods, which does not disproportionately burden any party involved."
Any such notice or communication shall be in English and shall be deemed to have been served a if sent by hand delivery by a person when delivered b if sent by courier then on the receipt of the courier by the Bank and c if sent by registered post acknowledgement due then on acknowledgment in the due course of the post,Neutral,"This clause standardizes communication methods and timing, ensuring clear rules about when notices are considered received. It does not impose unreasonable burdens on any party involved."
Notwithstanding anything contained herein 1 Our liability under this Bank Guarantee shall not exceed  value in figures  value in words,Neutral,"This clause simply defines the upper limit of the bank's liability, a standard practice in bank guarantees, ensuring clarity on maximum exposure."
3 We are liable to pay the guaranteed amount or any part thereof under this Bank Guarantee only  only if we receive a written claim or demand on or before  validity date,Neutral,"This clause outlines standard conditions requiring a written claim within the validity period to trigger payment, which is a common and reasonable provision in bank guarantees."
For and on behalf of the Bank Signature of the authorised signatoryies Signature,Neutral,"This clause merely describes the standard procedure for executing the guarantee by the bank's authorized signatory, which does not impose any excessive burden or disadvantage."
Format for Contract Performance Bank Guarantee CPBG Dated INSERT Bank Guarantee No INSERT Date INSERT BG Amount Rs PLEASE INSERT VALUE Validity PLEASE INSERT DATE To RAPP Transmission Company Limited RTCL Unit No 101 First Floor Windsor Village Kolekalyan off CST Road Vidyanagari Marg Kalina Santacruz East Mumbai  400098 India Ms RAPP Transmission Company Limited hereinafter referred to as the Beneficiary or RTCL which expression shall unless repugnant to the context or meaning thereof include its successors administrators and permitted assigns has awarded to  hereinafter referred to as the Contractor which expression shall unless repugnant to the context or meaning thereof include its successors administrators executers and permitted,Neutral,"The clause primarily outlines standard details for a Contract Performance Bank Guarantee (CPBG), including format requirements and beneficiary designation, without imposing unfair or burdensome conditions on the Contractor."
assigns a Contract Contract dated INSERT for the entire Dismantling Destrining Transportation To And From Store Supply Civil Works Erection And Commissioning Services For Shifting Of 400 Kv Transmission Lines  Towers the Project,Onerous,"The clause specifies extensive obligations including dismantling, transportation, and commissioning, which significantly increase the responsibility and potential liability of the guarantor."
This has been accepted by the Contractor in accordance with the terms and conditions of the Contract Basis this the Contractor is required to procure a bank guarantee for INSERT AMOUNT and furnish the same to the Beneficiary,Neutral,"The clause stipulates a standard requirement for the contractor to provide a bank guarantee as per the agreed contract terms, reflecting common practice without imposing unfair burdens."
Accordingly with reference to the above INSERT NAME OF BANK a company incorporated and registered under the Companies Act INSERT and a banking company within the meaning of section 5c of the Banking Regulation Act 1949 having its registered office at INSERT and having a Branch office among other places at INSERT Bank the Bank shall hereby provide this bank guarantee Guarantee in terms of the CONTRACT to secure the performance of obligations of the Contractor in respect of all obligations and liabilities of the Contractor under the CONTRACT,Neutral,"The clause standardly delineates the bank's commitment to ensure the contractor fulfills contractual obligations, without imposing additional, unusual burdens on any party involved."
Bank hereby guarantee to pay the Beneficiary an amount up to Rs INSERT Rupees INSERT Guaranteed Amount subject to the following terms and conditions 1 The Bank irrevocably and unconditionally undertakes as its principal absolute independent and primary obligation to pay to RTCL without demur reservation recourse dispute protest delay proof or condition without in any way first pursuing or exhausting any other rights or remedies which RTCL may have against the Contractor andor without any reference to the Contractor on receipt of a written claim notice from the Beneficiary on or prior to INSERTClaim Expiry Date for an amount not exceeding the Guaranteed Amount,Onerous,"The clause imposes heavy liabilities on the bank by mandating immediate, unconditional payment without recourse, dispute, or delay, irrespective of any rights against the Contractor."
Note The above date should be a period of at least 3 months post the expiry of the initial validity period of the relevant bank guarantee as provided in the CONTRACT 2 Any such demand made by RTCL to the Bank shall be conclusive and binding notwithstanding any difference between the RTCL and the Contractor or any dispute pending before any court tribunal arbitrator or any other authority or court Bank agrees that the guarantee herein contained shall be irrevocable and shall continue to be enforceable till this Guarantee is discharged by RTCL,Onerous,"The clause gives RTCL unilateral power to demand payment, which is binding despite disputes, making the guarantee irrevocable and heavily favoring RTCL over the contractor."
3 This Guarantee shall be valid and effective on and from the date of issuance ie,Neutral,"The clause simply establishes the effective date of the guarantee, which is standard and does not impose undue burdens on any party."
INSERT Guarantee Validity Date and shall remain valid irrevocable and in force until INSERT Guarantee Period Note This date should be validity period identified in the CONTRACT ie till completion of Defects Notification Period We are liable to pay the Guaranteed Amount or any part thereof under this Bank Guarantee only and only if you serve upon us as written claim or demand on or before Claim Expiry Date This Guarantee shall become null and void and shall have no force or effect whatsoever if the claim is made after the Claim Expiry Date Provided however that if any claim notices is so served within the Guarantee Period this Guarantee shall continue to be in force and effect in respect of the amount so claimed until the earlier of a the payment being made to RTCL in terms of this Guarantee or b obligation of the Bank in respect thereof is finally determined in court or otherwise and the,Neutral,"The clause primarily outlines standard terms for bank guarantee validity, expiry, and procedures for claims, consistent with typical contractual risk management practices."
4 On receiving the claim notice in accordance with the provisions of Clause 1 above the Bank shall make the payment of the Guaranteed Amount as per the details mentioned in the claim notice no later than 1 Business day from the date of receipt of the claim notice,Onerous,"Requiring payment within 1 business day imposes a stringent timeline on the bank, increasing operational pressure and risk of non-compliance under tight deadlines."
5 The Bank agrees and acknowledges that a this Bank Guarantee is a valid up to Claim Expiry Date and will remain in force until written claim or demand is served upon the Bank on or before the Claim Expiry Date,Neutral,"The clause standardly defines the duration and conditions for claims under the bank guarantee, imposing no undue or unfair terms on any party involved."
b the claim notice shall be conclusive evidence of the Banks liability to pay under this Guarantee and the Bank shall not be entitled to challenge or question the grounds on which such amounts have become payable or the claim notice has been issued,Onerous,"This clause restricts the bank's ability to dispute claims, compelling the bank to pay upon receiving a claim notice without questioning its validity or the circumstances leading to the payment demand."
c the Guaranteed Amount shall be paid by the Bank without any protest or delay or condition in clear funds by crediting the bank account set out in the claim notice in full without any setoff or counterclaim and free and clear of and without any deduction or withholding of any nature whatsoever,Onerous,"The clause requires the bank to pay without any rights to object, delay, or deduct, stripping it of defenses typically used when disputes arise. This intensifies the bank's risk and liability."
d this Guarantee shall not be affected impaired discharged or waived by i any changes in the constitution of the Bank ii by the liquidation winding up dissolution change of constitution insolvency or any other arrangement with the creditors of the Contractor and shall in all respects and for all purposes be,Neutral,"This clause ensures the guarantee remains valid despite changes in contractor's legal or financial status, maintaining the original terms, thus not disproportionately favoring either party."
binding and operative until payment of Guaranteed Amount under this Guarantee or until the Claim Expiry Date whichever is earlier and iii any variation amendment or waiver of the of the Agreement,Neutral,"The clause standardly limits the guarantee's duration and acknowledges permissible changes to the agreement without extending liability, thus maintaining reasonable terms for both parties involved."
6 RTCL shall have the fullest liberty without affecting in any way the liability of the Bank under this guarantee from time to time to extend the Guarantee Period basis any extensions made under the CONTRACT RTCL shall have the fullest liberty without affecting this Guarantee to postpone from time to time the exercise of any power vested in them or of any right which they might have against the Contractor and to exercise the same at any time in any manner and either to enforce or to forbear to enforce any covenants contained and implied in the CONTRACT or any other course or remedy or security available to RTCL The Bank shall not be released of its obligations under these presents by any exercise by RTCL of its liberty with reference to the matters aforesaid or any of them or by reason or any other act or forbearance or other acts of omission or commission on the part of RTCL or any other indulgence shown by RTCL or by any other matter or thing whatsoever,Onerous,"The clause extensively restricts the bank's ability to limit its liabilities despite RTCL's multiple discretionary powers, extending and varying contract terms unilaterally without affecting the bank's obligations."
which under law would but for this provision have the effect of relieving the Bank,Onerous,"This clause prevents legal provisions that might otherwise relieve the bank from certain obligations, thereby imposing stricter responsibilities and potential liabilities on the bank."
7 The Bank also agrees that RTCL at its option shall be entitled to enforce this Guarantee against the Bank as a principal debtor in the first instance without proceeding against the Contractor and notwithstanding any security or other guarantee that RTCL may have in relation to the Contractors liabilities,Onerous,"This clause allows RTCL to directly claim from the bank, bypassing the contractor, potentially increasing the bank's liability without first exhausting other securities or guarantees."
8 The Bank represents and warrants that it has the authority and capacity to issue this Guarantee and that this Guarantee constitutes valid legal and binding obligations of the Bank enforceable against it in accordance with the terms hereof,Neutral,"This clause states the bank's authority and capacity to issue the guarantee, ensuring its validity and enforceability, thereby expressing standard legal assurance without imposing additional burdens."
9 If any of the provisions of this Guarantee become invalid or unenforceable in any respect under any law the validity and enforceability of the remaining provisions shall not in any way be affected or impaired,Neutral,"This clause maintains the validity of the remaining terms if one becomes unenforceable, preserving the guarantee's overall integrity without imposing additional burdens on any party."
10 This Guarantee may not be amended or modified or varied without the prior written consent of the Bank RTCL and the Contractor,Neutral,"The clause requires mutual consent for amendments, ensuring no unilateral changes detrimental to any party. It balances interests, thus not disproportionately burdening any party involved."
11 Neither the Bank nor RTCL shall assign their rights or transfer their rights or obligations under this Guarantee,Neutral,"This clause equally restricts both parties from assigning or transferring rights or obligations, maintaining balance and shared limitations, thus neither excessively burdening nor favoring any party."
12 Notices or other communication required or permitted to be made hereunder shall be in writing and delivered personally or by registered post acknowledgement due or by internationally recognized courier service addressed to the intended recipient at the address of the recipient set out below a If to the Bank Insert Address b If to RTCL Unit No 101 First Floor Windsor Village Kole Kalyan off CST Road Vidyanagari Marg Santacruz East Mumbai Maharashtra  400098 or such other notice details which the Bank or RTCL may notify to the others with 5 five business days prior written notice Any such notice or communication shall be in English and shall be deemed to have been served a if sent by hand delivery by a person when delivered b if sent by courier then on the receipt of the courier by the,Neutral,"The clause specifies standard procedural requirements for notices, using common methods and addressing, and does not impose unfair or burdensome conditions on either party."
Bank and c if sent by registered post acknowledgement due then on acknowledgment in the due course of the post,Neutral,"This clause simply specifies a standard method of communication, requiring confirmation of receipt, which does not impose unfair or excessive burdens on either party involved."
13 Notwithstanding anything contained herein it is recorded and confirmed that the Banks liability in any case and in no circumstances shall exceed INSERT RELEVANT GUARANTEED AMOUNT in the aggregate,Neutral,"This clause simply clarifies the maximum liability of the bank under the guarantee, setting clear expectations for all parties involved. It does not impose unfair conditions."
14 The expression the Bank and RTCL herein before used shall include their respective successors and permitted assigns,Neutral,"The clause extends obligations and rights to successors and assigns, maintaining enforceability regardless of corporate changes. It's standard in contracts, not adding undue burden to any party."
15 This Guarantee shall be governed by and construed in accordance with the laws of India and shall be subject to the exclusive jurisdiction of the courts in Mumbai India,Neutral,"This clause simply specifies a jurisdiction and legal framework for governing the guarantee, standard practice and doesn’t impose unfair conditions on any party."
16 Notwithstanding anything contained herein Our liability under this Bank Guarantee shall not exceed  value in figures  value in words,Neutral,"This clause simply limits the bank's financial liability to a specific amount, which is a standard practice in bank guarantees, protecting the bank from excessive claims."
We are liable to pay the guaranteed amount or any part thereof under this Bank Guarantee only  only if we receive a written claim or demand on or before ,Neutral,"This standard clause mandates a written claim within a specific timeframe, focusing on clarity and preventing undue delay in executing responsibilities, without imposing excessive conditions."
BANK GUARANTEE FORMAT TO BE STAMPED AS AN AGREEMENT   1 THIS BANK GUARANTEE AGREEMENT executed at this day of 201 by  Name of the Bank  having its Registered Office at and its Branch at  hereinafter referred to as the Guarantor which expressio n shall unless it be repugnant to the subject meaning or context thereof be deemed to mean and include its successors and permitted assigns IN FAVOUR OF State Bank of India a Statutory Corporation constituted under the State Bank of India Act 1955 ha ving its Corporate Centre at State Bank Bhavan Nariman Point Mumbai and one of its offices atprocuring office address hereinafter referred to as SBI which expression shall unless repugnant to the subject context,Neutral,"This clause primarily outlines the identity and roles of the parties involved in the guarantee, without imposing any burdensome conditions."
or meaning thereof be deemed to mean and include its successors and assigns,Neutral,"This clause simply clarifies that obligations extend to successors and assigns, maintaining the enforceability of the agreement regardless of changes in business structure or ownership."
2 WHEREAS Ms incorporated under  Act having its registered office at  and principal place  of business at  hereinafter referred to as Service Provider Vendor which expression shall unless repugnant to the context or meaning thereof shall include its successor executor  assigns has agreed to develop implement and support  name of  Service hereinafter referred to as Services to SBI in accordance with the Request for Proposal RFP No SBIxxxx dated ddmmyyyy,Neutral,"This clause serves only as an introduction to the agreement, outlining the parties and the context, without imposing any specific obligations or burdens."
3 WHEREAS SBI has agreed to avail the Services from Service Provider for a peri od of  years subject to the terms and conditions mentioned in the RFP,Neutral,"The clause simply states an agreement to avail services with a reference to an RFP, outlining general terms without specifying any burdensome conditions."
4 WHEREAS in accordance with terms and conditions of the RFPPurchase orderAgreement dated Service Provider is required to furnish a Bank Guarantee for a sum of Rs   Rupees  only for due performance of the obligations of Service Provider in providing the Services in accordance with the RFPPurchase orderAgreement guaranteeing payment of the said amount of Rs  Rupees  only  to SBI if Service Provider fails to fulfill its obligations as agreed in RFPAgreement,Neutral,"The clause simply ensures due performance by requiring a standard financial guarantee, aligning with common contractual risk management practices without imposing excessive or unfair terms."
5 WHEREAS the Bank Guarantee is required to be valid for a total period of ,Neutral,"The clause simply states a requirement for the validity period of the Bank Guarantee, which is a standard term and does not impose undue burden or risk on either party."
months and in the event of failure on the part of Service Provider to fulfill any  of its commitments  obligations under the RFPAgreement SBI shall be entitled to invoke the Guarantee,Neutral,"This clause is standard, stipulating conditions under which the guarantee can be invoked, aligning with typical contractual risk allocations."
AND WHEREAS the Guarantor at the request of Service Provider agreed to issue on behalf of Service Provider Guarantee as above for an amount of  Rs  Rupees  only,Neutral,"The clause simply states the Guarantor's agreement to issue a guarantee at the request of the Service Provider, without imposing any additional, unusual, or burdensome conditions."
NOW THIS GUARANTEE WITNESSETH THAT  1  In consideration of SBI having agreed to entrust Service Provider for rendering Services as mentioned in the RFP w e  the Guarantors hereby unconditionally and irrevocably guarantee that Service Provider shall fulfill its commitments and obligations in respect of providing the Services as mentioned in the RFPAgreement and in the event of Service Provider failing to perform  fulfill it s commitments  obligations in respect of providing Services as mentioned in the RFPAgreement we the Guarantor shall on demands from time to time from SBI without protest or demur or without reference to Service Provider and not withstanding any co ntestation or existence of any dispute whatsoever between Service Provider and SBI pay SBI forthwith the sums so demanded by SBI,Onerous,"The clause imposes unconditional, irrevocable liability on the Guarantor to pay upon demand without protests, irrespective of disputes between the Service Provider and SBI."
2 Any notice  communication  demand from SBI to the effect that Ser vice Provider has failed to fulfill its commitments  obligations in respect of rendering the Services as mentioned in the Agreement shall be conclusive final  binding on the Guarantor and shall not be questioned by the Guarantor in or outside the court  tribunal authority or arbitration as the case may be and all such demands shall be honoured by the Guarantor without any delay,Onerous,"The clause removes the guarantor’s right to contest or dispute claims, obligating immediate compliance, significantly favoring the beneficiary."
3  We the Guarantor confirm that our obligation to the SBI under this Guarantee shall be independent of the agreement or ot her understandings whatsoever between the SBI and Service Provider,Neutral,"The clause standardly clarifies the independence of the guarantor's obligation from other agreements, common in bank guarantees to ensure unbiased enforcement."
4  This Guarantee shall not be revoked by us the Guarantor without prior consent in writing of the SBI,Neutral,"This clause ensures stability by preventing unilateral revocation, maintaining the guarantee's effectiveness and relieving concerns for the beneficiary (SBI) until obligations are fulfilled. It supports transparency and reliability."
WE THE GUARANTOR HEREBY FURTHER AGREE  DECLARE THAT   i Any neglect or forbe arance on the part of SBI to Service Provider or any indulgence of any kind shown by SBI to Service Provider or any change in the terms and conditions of the Agreement or the Services shall not in any way release or discharge the Bank from its liabilitie s under this Guarantee,Onerous,"This clause prevents the guarantor from being released from liability despite any potential changes or leniency in the agreement, increasing the risk and obligation on the guarantor."
ii This Guarantee herein contained shall be distinct and independent and shall be enforceable against the Guarantor notwithstanding any Guarantee or Security now or hereinafter held by SBI at its discretion,Neutral,"The clause merely clarifies that the guarantee remains enforceable independently of other securities or guarantees, without creating additional or unfair burdens on the guarantor."
iii This Guarantee shall not  be affected by any infirmity or absence or irregularity in the execution of this Guarantee by and  or on behalf of the Guarantor or by merger or amalgamation or any change in the Constitution or name of the Guarantor,Neutral,"This clause ensures the guarantee remains valid despite changes in the guarantor's structure or errors in execution, maintaining its effectiveness without imposing additional burdens on the beneficiary."
iv The Guarantee shall not be affected  by any change in the constitution of SBI or Service Provider or winding up  liquidation of Service Provider whether voluntary or otherwise v This Guarantee shall be a continuing guarantee during its validity period,Neutral,"The clause ensures the guarantee's continuity despite changes in corporate structure or winding up, maintaining its stability and predictability, and does not unfairly burden any party."
vi This Guarantee shall remain in full f orce and effect for a period of  years ,Neutral,"This clause merely specifies the duration of the guarantee, a standard term necessary for defining the timeline of the obligation."
months from the date of the issuance ie  up to  Unless a claim under this Guarantee is made against us on or before   all your rights under this Guarantee shall be forf eited and we shall be relieved and discharged from all liabilities there under,Onerous,"This clause imposes a strict time limit on claims, leading to forfeiture of rights and discharge of liabilities if not met, which heavily favors the bank and can disadvantage the beneficiary."
vii This Guarantee shall be governed by Indian Laws and the Courts in Mumbai India alone shall have the jurisdiction to try  entertain any dispute arising out of this Guarantee,Neutral,"This clause standardly stipulates jurisdiction and governing law, typical in contracts to determine legal oversight, without disproportionately benefiting one party over another."
Notwithstanding anything contained herein above  i Our liability under this Bank Guarantee shall not exceed Rs  Rs only  ii This Bank Guarantee shall be valid upto,Neutral,"The clause standardly limits the bank's financial liability and specifies the validity term of the guarantee, which is a common feature in bank guarantees and does not impose excessive burdens."
iii We are liable to pay the guaranteed amount or any part thereof under this Bank Guarantee only and only if SBI serve upon us a written claim or demand on or before ,Neutral,"This clause is standard, specifying the conditions under which the bank must honor the guarantee - only upon receipt of a written claim by a specified date."
FORMAT FOR EMD BANK GUARANTEE  To     EMD BANK GUARANTEE FOR NAME OF SERVICES TO STATE BANK OF INDIA TO MEET SUCH REQUIRMENT AND PROVIDE SUCH SERVICES AS ARE SET OUT IN THE RFP NOSBIxxxx DATED ddmmyyyy  WHEREAS State Bank of India SBI having its Corporate Office at Nariman Point Mumbai and Regional offices at other State capital cities in India has invited Request to provide name of Service as,Neutral,"This clause simply outlines the purpose and context of the Bank Guarantee in standard terms without imposing additional, unexpected burdens on the guarantor."
are set out in the  Request for Proposa l SBIxxxx dated ddmmyyyy,Neutral,The clause merely references the proposal details and does not impose burdensome terms or obligations on either party involved in the guarantee.
2  It is one of the terms of said Request for Proposal that the Bidder shall furnish a Bank Guarantee for a sum of Rs Rupees  only as Earnest Money Deposit,Neutral,"The clause merely requires the submission of a Bank Guarantee as a standard assurance for earnest money, a common practice in bids to ensure serious participation."
3  Ms   hereinafter called as Bidder who are our constituents intends to submit their Bid for the said work and have requested us to furnish guarantee in respect of the said sum of Rs Rupees  only  4  NOW THIS GUARANTEE WITNESSETH THAT We  Bank do hereby agree with and undertake to the State Bank of India their Successors assigns that in the event of the SBI coming to the conclusion that the Bidder has not performed the ir obligations under the said conditions of the RFP or have committed a breach thereof which conclusion shall be binding on us as well as the said Bidder we shall on demand by the SBI pay without demur to the SBI a sum of Rs   Rupees   Only  that may be demanded by SBI,Onerous,"The clause binds the bank unequivocally to SBI's determination of bidder non-performance or breach, requiring payment on demand without objection, significantly favoring SBI."
Our guarantee shall be treated as equivalent to the Earnest Money Deposit for the due performance of the obligations of the Bidder under the said conditions provided however that our liability agains t such sum shall not exceed the sum of Rs   Rupees  Only,Neutral,"The clause limits the guarantor's liability to a specified amount, aligning it with the earnest money deposit, which does not impose additional unreasonable burdens on the guarantor."
5 We also agree to undertake to and confirm that the sum not exceeding Rs  Rupees  Only as aforesaid shall be paid by us withou t any demur or protest merely on demand from the SBI on receipt of a notice in writing stating the amount is due to them and we shall not ask for any further proof or evidence and the notice from the SBI shall be conclusive and binding on us and shall not  be questioned by us in any respect or manner whatsoever We undertake to pay the amount claimed by the SBI without protest or demur or without reference to Bidder and not withstanding any contestation or existence of any dispute whatsoever between Bidder  and SBI pay SBI forthwith from the date of receipt of the notice as aforesaid We confirm that our obligation to the SBI under this guarantee shall be independent of the agreement or agreements or other understandings between the SBI and the Bidder This  guarantee shall not be revoked by us without prior consent in writing of the SBI,Onerous,"The clause requires payment without demur upon demand, prohibits questioning the validity of the demand, and ensures obligation even in disputes, limiting the guarantor’s defenses markedly."
6 We hereby further agree that   a Any forbearance or commission on the part of the SBI in enforcing the conditions of the said agreement or in compliance with any of the terms and conditions stipulated in the said Bid andor hereunder or granting of any time or showing of any indulgence by the SBI to the Bidder or any other matter in connection therewith shall not discharge us in any way our obligation under this guarantee  This guarantee shall be discharged only by the performance of  the Bidder of their obligations and in the event of their failure to do so by payment by us of the sum not exceeding Rs   Rupees  Only b Our liability under these presents shall not exceed the sum of Rs  Rupees  Only c Our liability under this agreement shall not be affected by any infirmity or irregularity on the part of our said constituents in,Onerous,"The clause prevents the guarantor from being released from obligations despite potential leniency or non-enforcement of terms by SBI towards the Bidder, significantly increasing the guarantor's risk."
tendering for the said work or  their obligations there under or by dissolution or change in the constitution of our said constituents,Neutral,"This clause specifies circumstances concerning the continuity of obligations despite changes in the contractor's constitution, which does not impose excessive burdens but rather clarifies succession obligations."
d This guarantee shall remain in force upto 180 days provided that if so desired by the SBI this guarantee shall be renewed for a further period as may be indicated by them on the same terms and conditions as contained herein,Onerous,"The clause allows the bank (SBI) unilateral power to extend the guarantee, potentially creating prolonged liabilities for the guarantor without mutual consent on renewal terms."
e Our liability under this presents will terminate unless these presents are renewed as provided herein upto 180 days or on the day when our said constituents comply with their obliga tions as to which a certificate in writing by the SBI alone is the conclusive proof whichever date is earlier,Onerous,"The clause places strict and singular reliance on a certificate from SBI as conclusive proof of compliance, limiting the constituent's scope to contest or provide alternative evidence, which could be disadvantageous."
f Unless a claim or suit or action is filed against us on or beforedate to be filled by BG issuing bank all the rights of the SBI against  us under this guarantee shall be forfeited and we shall be released and discharged from all our obligations and liabilities hereunder,Onerous,"This clause imposes a strict deadline for claims, after which rights against the bank are forfeited, creating significant potential disadvantage and risk for the beneficiary."
